Portfolio project,Original folder,File path within folder,Bytes,Portfolio filename,Naming status
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.66,136405,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.67,140964,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.68,136250,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.69,133768,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.7,141112,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.70,140577,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.71,138978,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.72,141165,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.73,134339,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.74,139204,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.75,146176,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.76,141643,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.77,144344,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.78,134361,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.79,146886,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.8,135614,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.80,135021,,Archive/data output or excluded project — original name retained
